"","Date_Time","Rainfall_mm","Throughfall_mm"
"1","2015-11-22 02:41:00",0,0.025
"2","2015-11-22 02:42:00",0.254,0
"3","2015-11-22 02:43:00",0,0.025
"4","2015-11-22 02:44:00",0,0
"5","2015-11-22 02:45:00",0,0
"6","2015-11-22 02:46:00",0,0
"7","2015-11-22 02:47:00",0,0
"8","2015-11-22 02:48:00",0,0
"9","2015-11-22 02:49:00",0,0
"10","2015-11-22 02:50:00",0,0
"11","2015-11-22 02:51:00",0,0.025
"12","2015-11-22 02:52:00",0,0
"13","2015-11-22 02:53:00",0,0
"14","2015-11-22 02:54:00",0,0
"15","2015-11-22 02:55:00",0,0.025
"16","2015-11-22 02:56:00",0.254,0.225
"17","2015-11-22 02:57:00",0.254,0.225
"18","2015-11-22 02:58:00",0.508,0.25
"19","2015-11-22 02:59:00",0.254,0.1
"20","2015-11-22 03:00:00",0.254,0.1
"21","2015-11-22 03:01:00",0.254,0.25
"22","2015-11-22 03:02:00",0.254,0.175
"23","2015-11-22 03:03:00",0.254,0.25
"24","2015-11-22 03:04:00",0.254,0.1
"25","2015-11-22 03:05:00",0.254,0.175
"26","2015-11-22 03:06:00",0.254,0.225
"27","2015-11-22 03:07:00",0.254,0.2
"28","2015-11-22 03:08:00",0.254,0.175
"29","2015-11-22 03:09:00",0.254,0.15
"30","2015-11-22 03:10:00",0.254,0.125
"31","2015-11-22 03:11:00",0,0.1
"32","2015-11-22 03:12:00",0.254,0.05
"33","2015-11-22 03:13:00",0,0.05
"34","2015-11-22 03:14:00",0.254,0.15
"35","2015-11-22 03:15:00",0,0.05
"36","2015-11-22 03:16:00",0,0.1
"37","2015-11-22 03:17:00",0,0.025
"38","2015-11-22 03:18:00",0.254,0.075
"39","2015-11-22 03:19:00",0,0.05
"40","2015-11-22 03:20:00",0,0
"41","2015-11-22 03:21:00",0.254,0.15
"42","2015-11-22 03:22:00",0,0.05
"43","2015-11-22 03:23:00",0,0.075
"44","2015-11-22 03:24:00",0.254,0.05
"45","2015-11-22 03:25:00",0,0.025
"46","2015-11-22 03:26:00",0,0.1
"47","2015-11-22 03:27:00",0.254,0.075
"48","2015-11-22 03:28:00",0,0.025
"49","2015-11-22 03:29:00",0,0.125
"50","2015-11-22 03:30:00",0.254,0.075
"51","2015-11-22 03:31:00",0,0.075
"52","2015-11-22 03:32:00",0,0.05
"53","2015-11-22 03:33:00",0,0.075
"54","2015-11-22 03:34:00",0.254,0.05
"55","2015-11-22 03:35:00",0,0.1
"56","2015-11-22 03:36:00",0,0.025
"57","2015-11-22 03:37:00",0,0
"58","2015-11-22 03:38:00",0,0.025
"59","2015-11-22 03:39:00",0,0.025
"60","2015-11-22 03:40:00",0,0
"61","2015-11-22 03:41:00",0,0
"62","2015-11-22 03:42:00",0,0
"63","2015-11-22 03:43:00",0,0.025
"64","2015-11-22 03:44:00",0,0
"65","2015-11-22 03:45:00",0,0.025
"66","2015-11-22 03:46:00",0,0.025
"67","2015-11-22 03:47:00",0,0
"68","2015-11-22 03:48:00",0,0
"69","2015-11-22 03:49:00",0,0
"70","2015-11-22 03:50:00",0,0
"71","2015-11-22 03:51:00",0,0
"72","2015-11-22 03:52:00",0,0.025
"73","2015-11-22 03:53:00",0,0
"74","2015-11-22 03:54:00",0,0
"75","2015-11-22 03:55:00",0,0
"76","2015-11-22 03:56:00",0,0
"77","2015-11-22 03:57:00",0,0
"78","2015-11-22 03:58:00",0,0
"79","2015-11-22 03:59:00",0,0
"80","2015-11-22 04:00:00",0,0.025
"81","2015-11-22 04:01:00",0,0
"82","2015-11-22 04:02:00",0,0.025
"83","2015-11-22 04:03:00",0,0.025
"84","2015-11-22 04:04:00",0,0
"85","2015-11-22 04:05:00",0,0
"86","2015-11-22 04:06:00",0,0
"87","2015-11-22 04:07:00",0,0
"88","2015-11-22 04:08:00",0,0
"89","2015-11-22 04:09:00",0,0
"90","2015-11-22 04:10:00",0,0
"91","2015-11-22 04:11:00",0,0
"92","2015-11-22 04:12:00",0,0
"93","2015-11-22 04:13:00",0,0
"94","2015-11-22 04:14:00",0,0
"95","2015-11-22 04:15:00",0,0.025
"96","2015-11-22 04:16:00",0,0
"97","2015-11-22 04:17:00",0,0
"98","2015-11-22 04:18:00",0,0
"99","2015-11-22 04:19:00",0,0.025
"100","2015-11-22 04:20:00",0,0
"101","2015-11-22 04:21:00",0,0
"102","2015-11-22 04:22:00",0,0.025
"103","2015-11-22 04:23:00",0,0.025
"104","2015-11-22 04:24:00",0.254,0
