"","Date_Time","Rainfall_mm","Throughfall_mm"
"1","2015-11-18 13:42:00",0,0
"2","2015-11-18 13:43:00",0.254,0
"3","2015-11-18 13:44:00",0.254,0.02
"4","2015-11-18 13:45:00",0.508,0.12
"5","2015-11-18 13:46:00",0.508,0.22
"6","2015-11-18 13:47:00",0.762,0.34
"7","2015-11-18 13:48:00",0.762,0.38
"8","2015-11-18 13:49:00",0.508,0.38
"9","2015-11-18 13:50:00",0.508,0.48
"10","2015-11-18 13:51:00",0.762,0.4
"11","2015-11-18 13:52:00",0.508,0.4
"12","2015-11-18 13:53:00",0.254,0.34
"13","2015-11-18 13:54:00",0.508,0.52
"14","2015-11-18 13:55:00",0.762,0.56
"15","2015-11-18 13:56:00",0.508,0.52
"16","2015-11-18 13:57:00",0.508,0.32
"17","2015-11-18 13:58:00",0.254,0.22
"18","2015-11-18 13:59:00",0.254,0.24
"19","2015-11-18 14:00:00",0,0.22
"20","2015-11-18 14:01:00",0,0.1
"21","2015-11-18 14:02:00",0.254,0.12
"22","2015-11-18 14:03:00",0,0.16
"23","2015-11-18 14:04:00",0,0.04
"24","2015-11-18 14:05:00",0,0.06
"25","2015-11-18 14:06:00",0,0.02
"26","2015-11-18 14:07:00",0.254,0.1
"27","2015-11-18 14:08:00",0,0.04
"28","2015-11-18 14:09:00",0,0.04
"29","2015-11-18 14:10:00",0,0
"30","2015-11-18 14:11:00",0,0.02
"31","2015-11-18 14:12:00",0,0.02
"32","2015-11-18 14:13:00",0,0.08
"33","2015-11-18 14:14:00",0,0.16
"34","2015-11-18 14:15:00",0.254,0.1
"35","2015-11-18 14:16:00",0,0.16
"36","2015-11-18 14:17:00",0.254,0.14
"37","2015-11-18 14:18:00",0,0.02
"38","2015-11-18 14:19:00",0,0.1
"39","2015-11-18 14:20:00",0,0.06
"40","2015-11-18 14:21:00",0,0.02
"41","2015-11-18 14:22:00",0,0.04
"42","2015-11-18 14:23:00",0,0.04
"43","2015-11-18 14:24:00",0,0.02
"44","2015-11-18 14:25:00",0,0
"45","2015-11-18 14:26:00",0,0.02
"46","2015-11-18 14:27:00",0.254,0.04
"47","2015-11-18 14:28:00",0,0.02
"48","2015-11-18 14:29:00",0,0
"49","2015-11-18 14:30:00",0,0
"50","2015-11-18 14:31:00",0,0.04
"51","2015-11-18 14:32:00",0,0
"52","2015-11-18 14:33:00",0,0
"53","2015-11-18 14:34:00",0,0
"54","2015-11-18 14:35:00",0,0
"55","2015-11-18 14:36:00",0,0
"56","2015-11-18 14:37:00",0,0
"57","2015-11-18 14:38:00",0,0
"58","2015-11-18 14:39:00",0,0.02
"59","2015-11-18 14:40:00",0,0.02
"60","2015-11-18 14:41:00",0,0.02
"61","2015-11-18 14:42:00",0,0
"62","2015-11-18 14:43:00",0,0.02
"63","2015-11-18 14:44:00",0.254,0.04
"64","2015-11-18 14:45:00",0,0
"65","2015-11-18 14:46:00",0,0
"66","2015-11-18 14:47:00",0,0
"67","2015-11-18 14:48:00",0,0
"68","2015-11-18 14:49:00",0,0.02
"69","2015-11-18 14:50:00",0,0.04
"70","2015-11-18 14:51:00",0,0.04
"71","2015-11-18 14:52:00",0,0
"72","2015-11-18 14:53:00",0,0
"73","2015-11-18 14:54:00",0,0
"74","2015-11-18 14:55:00",0,0.02
"75","2015-11-18 14:56:00",0,0.02
"76","2015-11-18 14:57:00",0,0
"77","2015-11-18 14:58:00",0,0.02
"78","2015-11-18 14:59:00",0,0
"79","2015-11-18 15:00:00",0,0
"80","2015-11-18 15:01:00",0,0.04
"81","2015-11-18 15:02:00",0,0
"82","2015-11-18 15:03:00",0,0
"83","2015-11-18 15:04:00",0,0
"84","2015-11-18 15:05:00",0.254,0
