"","Date_Time","Rainfall_mm","Throughfall_mm"
"1","2015-10-28 16:13:00",0,0
"2","2015-10-28 16:14:00",0.254,0
"3","2015-10-28 16:15:00",0,0
"4","2015-10-28 16:16:00",0,0
"5","2015-10-28 16:17:00",0,0
"6","2015-10-28 16:18:00",0,0.02
"7","2015-10-28 16:19:00",0.254,0
"8","2015-10-28 16:20:00",0.508,0.04
"9","2015-10-28 16:21:00",0.508,0.26
"10","2015-10-28 16:22:00",0.762,0.22
"11","2015-10-28 16:23:00",0.762,0.54
"12","2015-10-28 16:24:00",0.508,0.32
"13","2015-10-28 16:25:00",0.508,0.5
"14","2015-10-28 16:26:00",0.254,0.36
"15","2015-10-28 16:27:00",0.508,0.34
"16","2015-10-28 16:28:00",0.762,0.38
"17","2015-10-28 16:29:00",0.508,0.46
"18","2015-10-28 16:30:00",0.508,0.4
"19","2015-10-28 16:31:00",0.254,0.34
"20","2015-10-28 16:32:00",0.762,0.26
"21","2015-10-28 16:33:00",1.27,0.38
"22","2015-10-28 16:34:00",1.016,0.5
"23","2015-10-28 16:35:00",0.762,0.82
"24","2015-10-28 16:36:00",0.762,0.64
"25","2015-10-28 16:37:00",0.254,0.44
"26","2015-10-28 16:38:00",0.254,0.28
"27","2015-10-28 16:39:00",0.508,0.2
"28","2015-10-28 16:40:00",1.016,0.42
"29","2015-10-28 16:41:00",0.508,0.62
"30","2015-10-28 16:42:00",0.762,0.56
"31","2015-10-28 16:43:00",0.762,0.54
"32","2015-10-28 16:44:00",0.762,0.38
"33","2015-10-28 16:45:00",0.508,0.52
"34","2015-10-28 16:46:00",0.508,0.5
"35","2015-10-28 16:47:00",0.508,0.44
"36","2015-10-28 16:48:00",0.254,0.2
"37","2015-10-28 16:49:00",0.254,0.18
"38","2015-10-28 16:50:00",0,0.16
"39","2015-10-28 16:51:00",0.254,0.06
"40","2015-10-28 16:52:00",0,0.06
"41","2015-10-28 16:53:00",0,0.08
"42","2015-10-28 16:54:00",0.254,0.06
"43","2015-10-28 16:55:00",0,0.1
"44","2015-10-28 16:56:00",0,0.02
"45","2015-10-28 16:57:00",0,0.02
"46","2015-10-28 16:58:00",0,0
"47","2015-10-28 16:59:00",0,0.04
"48","2015-10-28 17:00:00",0,0.02
"49","2015-10-28 17:01:00",0,0.02
"50","2015-10-28 17:02:00",0,0.04
"51","2015-10-28 17:03:00",0,0.04
"52","2015-10-28 17:04:00",0,0.04
"53","2015-10-28 17:05:00",0,0
"54","2015-10-28 17:06:00",0,0
"55","2015-10-28 17:07:00",0,0.02
"56","2015-10-28 17:08:00",0,0
"57","2015-10-28 17:09:00",0,0
"58","2015-10-28 17:10:00",0.254,0
"59","2015-10-28 17:11:00",0,0
"60","2015-10-28 17:12:00",0,0
"61","2015-10-28 17:13:00",0,0
"62","2015-10-28 17:14:00",0,0
"63","2015-10-28 17:15:00",0,0.02
"64","2015-10-28 17:16:00",0,0
"65","2015-10-28 17:17:00",0,0
"66","2015-10-28 17:18:00",0,0
"67","2015-10-28 17:19:00",0,0.02
"68","2015-10-28 17:20:00",0,0
"69","2015-10-28 17:21:00",0,0
"70","2015-10-28 17:22:00",0,0
"71","2015-10-28 17:23:00",0,0
"72","2015-10-28 17:24:00",0,0
"73","2015-10-28 17:25:00",0,0.02
"74","2015-10-28 17:26:00",0,0
"75","2015-10-28 17:27:00",0,0.02
"76","2015-10-28 17:28:00",0,0
"77","2015-10-28 17:29:00",0,0
"78","2015-10-28 17:30:00",0,0
"79","2015-10-28 17:31:00",0,0
"80","2015-10-28 17:32:00",0,0
