"","Date_Time","Rainfall_mm","Throughfall_mm"
"1","2016-01-22 16:51:00",0,0
"2","2016-01-22 16:52:00",0.254,0.02
"3","2016-01-22 16:53:00",0.508,0.2
"4","2016-01-22 16:54:00",1.016,0.44
"5","2016-01-22 16:55:00",0.762,0.46
"6","2016-01-22 16:56:00",0.762,0.52
"7","2016-01-22 16:57:00",0.508,0.56
"8","2016-01-22 16:58:00",0.762,0.46
"9","2016-01-22 16:59:00",0.508,0.42
"10","2016-01-22 17:00:00",0.254,0.3
"11","2016-01-22 17:01:00",0,0.14
"12","2016-01-22 17:02:00",0.254,0.12
"13","2016-01-22 17:03:00",0,0.14
"14","2016-01-22 17:04:00",0,0.08
"15","2016-01-22 17:05:00",0.254,0.06
"16","2016-01-22 17:06:00",0,0.02
"17","2016-01-22 17:07:00",0,0.08
"18","2016-01-22 17:08:00",0.254,0.06
"19","2016-01-22 17:09:00",0,0.06
"20","2016-01-22 17:10:00",0,0.02
"21","2016-01-22 17:11:00",0,0.06
"22","2016-01-22 17:12:00",0,0.04
"23","2016-01-22 17:13:00",0,0.02
"24","2016-01-22 17:14:00",0,0.02
"25","2016-01-22 17:15:00",0.254,0
"26","2016-01-22 17:16:00",0,0.06
"27","2016-01-22 17:17:00",0,0.06
"28","2016-01-22 17:18:00",0.254,0.14
"29","2016-01-22 17:19:00",0.254,0.26
"30","2016-01-22 17:20:00",0.254,0.26
"31","2016-01-22 17:21:00",0.254,0.28
"32","2016-01-22 17:22:00",0.254,0.24
"33","2016-01-22 17:23:00",0,0.18
"34","2016-01-22 17:24:00",0.254,0.22
"35","2016-01-22 17:25:00",0.254,0.24
"36","2016-01-22 17:26:00",0,0.12
"37","2016-01-22 17:27:00",0.254,0.18
"38","2016-01-22 17:28:00",0.254,0.08
"39","2016-01-22 17:29:00",0,0.14
"40","2016-01-22 17:30:00",0.254,0.14
"41","2016-01-22 17:31:00",0,0.1
"42","2016-01-22 17:32:00",0,0.04
"43","2016-01-22 17:33:00",0,0.08
"44","2016-01-22 17:34:00",0,0.02
"45","2016-01-22 17:35:00",0,0.04
"46","2016-01-22 17:36:00",0,0.06
"47","2016-01-22 17:37:00",0,0
"48","2016-01-22 17:38:00",0.254,0.04
"49","2016-01-22 17:39:00",0,0.02
"50","2016-01-22 17:40:00",0,0.02
"51","2016-01-22 17:41:00",0,0
"52","2016-01-22 17:42:00",0,0.02
"53","2016-01-22 17:43:00",0,0
"54","2016-01-22 17:44:00",0,0
"55","2016-01-22 17:45:00",0,0
"56","2016-01-22 17:46:00",0,0
"57","2016-01-22 17:47:00",0,0.02
"58","2016-01-22 17:48:00",0,0
"59","2016-01-22 17:49:00",0,0
"60","2016-01-22 17:50:00",0,0
"61","2016-01-22 17:51:00",0,0
"62","2016-01-22 17:52:00",0,0
"63","2016-01-22 17:53:00",0,0.02
"64","2016-01-22 17:54:00",0,0
"65","2016-01-22 17:55:00",0,0
"66","2016-01-22 17:56:00",0,0.02
"67","2016-01-22 17:57:00",0,0
"68","2016-01-22 17:58:00",0,0
"69","2016-01-22 17:59:00",0,0.04
"70","2016-01-22 18:00:00",0,0
"71","2016-01-22 18:01:00",0,0.04
"72","2016-01-22 18:02:00",0,0
"73","2016-01-22 18:03:00",0,0
"74","2016-01-22 18:04:00",0,0
"75","2016-01-22 18:05:00",0,0
"76","2016-01-22 18:06:00",0,0.02
"77","2016-01-22 18:07:00",0,0
"78","2016-01-22 18:08:00",0,0
"79","2016-01-22 18:09:00",0,0
"80","2016-01-22 18:10:00",0,0
"81","2016-01-22 18:11:00",0,0
"82","2016-01-22 18:12:00",0,0
"83","2016-01-22 18:13:00",0,0.02
"84","2016-01-22 18:14:00",0,0
"85","2016-01-22 18:15:00",0,0.02
"86","2016-01-22 18:16:00",0,0
"87","2016-01-22 18:17:00",0,0
"88","2016-01-22 18:18:00",0,0.02
"89","2016-01-22 18:19:00",0,0
"90","2016-01-22 18:20:00",0,0
"91","2016-01-22 18:21:00",0,0
"92","2016-01-22 18:22:00",0,0
"93","2016-01-22 18:23:00",0,0
"94","2016-01-22 18:24:00",0,0
"95","2016-01-22 18:25:00",0,0
"96","2016-01-22 18:26:00",0,0
"97","2016-01-22 18:27:00",0,0
"98","2016-01-22 18:28:00",0,0
"99","2016-01-22 18:29:00",0,0
"100","2016-01-22 18:30:00",0,0.04
"101","2016-01-22 18:31:00",0,0
"102","2016-01-22 18:32:00",0.254,0.02
"103","2016-01-22 18:33:00",0,0
"104","2016-01-22 18:34:00",0,0
"105","2016-01-22 18:35:00",0,0
"106","2016-01-22 18:36:00",0,0
"107","2016-01-22 18:37:00",0,0
"108","2016-01-22 18:38:00",0,0
"109","2016-01-22 18:39:00",0,0.02
"110","2016-01-22 18:40:00",0,0.02
"111","2016-01-22 18:41:00",0,0.02
"112","2016-01-22 18:42:00",0,0
"113","2016-01-22 18:43:00",0,0.02
"114","2016-01-22 18:44:00",0,0
"115","2016-01-22 18:45:00",0.254,0.02
"116","2016-01-22 18:46:00",0,0.08
"117","2016-01-22 18:47:00",0,0.02
"118","2016-01-22 18:48:00",0,0.02
"119","2016-01-22 18:49:00",0,0.04
"120","2016-01-22 18:50:00",0,0.06
"121","2016-01-22 18:51:00",0.254,0
"122","2016-01-22 18:52:00",0,0.04
"123","2016-01-22 18:53:00",0,0.04
"124","2016-01-22 18:54:00",0,0.04
"125","2016-01-22 18:55:00",0,0.04
"126","2016-01-22 18:56:00",0,0.02
"127","2016-01-22 18:57:00",0.254,0.02
"128","2016-01-22 18:58:00",0,0.06
"129","2016-01-22 18:59:00",0,0.04
"130","2016-01-22 19:00:00",0,0.02
"131","2016-01-22 19:01:00",0,0.02
"132","2016-01-22 19:02:00",0,0.08
"133","2016-01-22 19:03:00",0.254,0.02
"134","2016-01-22 19:04:00",0,0.02
"135","2016-01-22 19:05:00",0,0.1
"136","2016-01-22 19:06:00",0,0
"137","2016-01-22 19:07:00",0,0
"138","2016-01-22 19:08:00",0,0.02
"139","2016-01-22 19:09:00",0,0
"140","2016-01-22 19:10:00",0,0.02
"141","2016-01-22 19:11:00",0,0.04
"142","2016-01-22 19:12:00",0.254,0
"143","2016-01-22 19:13:00",0,0.02
"144","2016-01-22 19:14:00",0,0.04
"145","2016-01-22 19:15:00",0,0.04
"146","2016-01-22 19:16:00",0,0.02
"147","2016-01-22 19:17:00",0,0.02
"148","2016-01-22 19:18:00",0,0.02
"149","2016-01-22 19:19:00",0,0.02
"150","2016-01-22 19:20:00",0.254,0.02
"151","2016-01-22 19:21:00",0,0.02
"152","2016-01-22 19:22:00",0,0.02
"153","2016-01-22 19:23:00",0,0.04
"154","2016-01-22 19:24:00",0,0
"155","2016-01-22 19:25:00",0,0
"156","2016-01-22 19:26:00",0,0
"157","2016-01-22 19:27:00",0,0.02
"158","2016-01-22 19:28:00",0,0.02
"159","2016-01-22 19:29:00",0,0
"160","2016-01-22 19:30:00",0,0.02
"161","2016-01-22 19:31:00",0,0
"162","2016-01-22 19:32:00",0,0.02
"163","2016-01-22 19:33:00",0,0.04
"164","2016-01-22 19:34:00",0,0
"165","2016-01-22 19:35:00",0,0
"166","2016-01-22 19:36:00",0.254,0
"167","2016-01-22 19:37:00",0,0.02
"168","2016-01-22 19:38:00",0,0.02
"169","2016-01-22 19:39:00",0,0.04
"170","2016-01-22 19:40:00",0,0
"171","2016-01-22 19:41:00",0,0.02
"172","2016-01-22 19:42:00",0,0
"173","2016-01-22 19:43:00",0,0.08
"174","2016-01-22 19:44:00",0.254,0
"175","2016-01-22 19:45:00",0,0.06
"176","2016-01-22 19:46:00",0,0.1
"177","2016-01-22 19:47:00",0,0.04
"178","2016-01-22 19:48:00",0,0.06
"179","2016-01-22 19:49:00",0.254,0.04
"180","2016-01-22 19:50:00",0,0.06
"181","2016-01-22 19:51:00",0,0.04
"182","2016-01-22 19:52:00",0,0.04
"183","2016-01-22 19:53:00",0,0.04
"184","2016-01-22 19:54:00",0,0.04
"185","2016-01-22 19:55:00",0,0.02
"186","2016-01-22 19:56:00",0,0
"187","2016-01-22 19:57:00",0,0.04
"188","2016-01-22 19:58:00",0.254,0.02
"189","2016-01-22 19:59:00",0,0.02
"190","2016-01-22 20:00:00",0,0.02
"191","2016-01-22 20:01:00",0,0.02
"192","2016-01-22 20:02:00",0,0.02
"193","2016-01-22 20:03:00",0,0
"194","2016-01-22 20:04:00",0,0.04
"195","2016-01-22 20:05:00",0,0
"196","2016-01-22 20:06:00",0,0
"197","2016-01-22 20:07:00",0,0.02
"198","2016-01-22 20:08:00",0,0.02
"199","2016-01-22 20:09:00",0,0
"200","2016-01-22 20:10:00",0,0.04
"201","2016-01-22 20:11:00",0,0.02
"202","2016-01-22 20:12:00",0,0.06
"203","2016-01-22 20:13:00",0.254,0.04
"204","2016-01-22 20:14:00",0,0.02
"205","2016-01-22 20:15:00",0,0
"206","2016-01-22 20:16:00",0,0.02
"207","2016-01-22 20:17:00",0,0.02
"208","2016-01-22 20:18:00",0,0.04
"209","2016-01-22 20:19:00",0,0.02
"210","2016-01-22 20:20:00",0,0.02
"211","2016-01-22 20:21:00",0,0.02
"212","2016-01-22 20:22:00",0,0.02
"213","2016-01-22 20:23:00",0,0.02
"214","2016-01-22 20:24:00",0.254,0.04
"215","2016-01-22 20:25:00",0,0.02
"216","2016-01-22 20:26:00",0,0.02
"217","2016-01-22 20:27:00",0,0
"218","2016-01-22 20:28:00",0,0.04
"219","2016-01-22 20:29:00",0,0.02
"220","2016-01-22 20:30:00",0,0.02
"221","2016-01-22 20:31:00",0,0
"222","2016-01-22 20:32:00",0,0
"223","2016-01-22 20:33:00",0,0
"224","2016-01-22 20:34:00",0,0.04
"225","2016-01-22 20:35:00",0,0
"226","2016-01-22 20:36:00",0,0.02
"227","2016-01-22 20:37:00",0,0.06
"228","2016-01-22 20:38:00",0,0.02
"229","2016-01-22 20:39:00",0.254,0.02
"230","2016-01-22 20:40:00",0,0
"231","2016-01-22 20:41:00",0,0.02
"232","2016-01-22 20:42:00",0,0
"233","2016-01-22 20:43:00",0,0
"234","2016-01-22 20:44:00",0,0.04
"235","2016-01-22 20:45:00",0,0.04
"236","2016-01-22 20:46:00",0.254,0
"237","2016-01-22 20:47:00",0,0
"238","2016-01-22 20:48:00",0,0.1
"239","2016-01-22 20:49:00",0,0.02
"240","2016-01-22 20:50:00",0,0.04
"241","2016-01-22 20:51:00",0,0.02
"242","2016-01-22 20:52:00",0,0
"243","2016-01-22 20:53:00",0,0
"244","2016-01-22 20:54:00",0,0.02
"245","2016-01-22 20:55:00",0,0.02
"246","2016-01-22 20:56:00",0,0.04
"247","2016-01-22 20:57:00",0.254,0.02
"248","2016-01-22 20:58:00",0,0.08
"249","2016-01-22 20:59:00",0,0.02
"250","2016-01-22 21:00:00",0,0.06
"251","2016-01-22 21:01:00",0,0.02
"252","2016-01-22 21:02:00",0,0
"253","2016-01-22 21:03:00",0,0.08
"254","2016-01-22 21:04:00",0,0.02
"255","2016-01-22 21:05:00",0,0.04
"256","2016-01-22 21:06:00",0,0.02
"257","2016-01-22 21:07:00",0.254,0
"258","2016-01-22 21:08:00",0,0
"259","2016-01-22 21:09:00",0,0.06
"260","2016-01-22 21:10:00",0,0.04
"261","2016-01-22 21:11:00",0,0.08
"262","2016-01-22 21:12:00",0,0.06
"263","2016-01-22 21:13:00",0.254,0.06
"264","2016-01-22 21:14:00",0,0.06
"265","2016-01-22 21:15:00",0,0.02
"266","2016-01-22 21:16:00",0,0.06
