"","Date_Time","Rainfall_mm","Throughfall_mm"
"1","2016-01-25 16:38:00",0,0
"2","2016-01-25 16:39:00",0.254,0
"3","2016-01-25 16:40:00",0.254,0.02
"4","2016-01-25 16:41:00",0.254,0.04
"5","2016-01-25 16:42:00",0.254,0.08
"6","2016-01-25 16:43:00",0.254,0.04
"7","2016-01-25 16:44:00",0.254,0.12
"8","2016-01-25 16:45:00",0.254,0.1
"9","2016-01-25 16:46:00",0.254,0.08
"10","2016-01-25 16:47:00",0.254,0.16
"11","2016-01-25 16:48:00",0.254,0.1
"12","2016-01-25 16:49:00",0.254,0.12
"13","2016-01-25 16:50:00",0,0.06
"14","2016-01-25 16:51:00",0,0.02
"15","2016-01-25 16:52:00",0,0.02
"16","2016-01-25 16:53:00",0.254,0.04
"17","2016-01-25 16:54:00",0,0.02
"18","2016-01-25 16:55:00",0,0.02
"19","2016-01-25 16:56:00",0,0.02
"20","2016-01-25 16:57:00",0,0
"21","2016-01-25 16:58:00",0,0
"22","2016-01-25 16:59:00",0,0.02
"23","2016-01-25 17:00:00",0,0
"24","2016-01-25 17:01:00",0,0.02
"25","2016-01-25 17:02:00",0,0
"26","2016-01-25 17:03:00",0,0.02
"27","2016-01-25 17:04:00",0,0
"28","2016-01-25 17:05:00",0,0
"29","2016-01-25 17:06:00",0,0
"30","2016-01-25 17:07:00",0,0
"31","2016-01-25 17:08:00",0,0
"32","2016-01-25 17:09:00",0,0
"33","2016-01-25 17:10:00",0,0
"34","2016-01-25 17:11:00",0,0
"35","2016-01-25 17:12:00",0,0
"36","2016-01-25 17:13:00",0,0
"37","2016-01-25 17:14:00",0,0
"38","2016-01-25 17:15:00",0,0
"39","2016-01-25 17:16:00",0,0
"40","2016-01-25 17:17:00",0,0
"41","2016-01-25 17:18:00",0,0
"42","2016-01-25 17:19:00",0,0
"43","2016-01-25 17:20:00",0,0
"44","2016-01-25 17:21:00",0,0
"45","2016-01-25 17:22:00",0,0
"46","2016-01-25 17:23:00",0,0
"47","2016-01-25 17:24:00",0,0
"48","2016-01-25 17:25:00",0,0
"49","2016-01-25 17:26:00",0,0.04
"50","2016-01-25 17:27:00",0,0
"51","2016-01-25 17:28:00",0,0
"52","2016-01-25 17:29:00",0,0
"53","2016-01-25 17:30:00",0,0
"54","2016-01-25 17:31:00",0,0
"55","2016-01-25 17:32:00",0,0
"56","2016-01-25 17:33:00",0,0
"57","2016-01-25 17:34:00",0,0
"58","2016-01-25 17:35:00",0,0
"59","2016-01-25 17:36:00",0,0
"60","2016-01-25 17:37:00",0,0
"61","2016-01-25 17:38:00",0,0
"62","2016-01-25 17:39:00",0,0
"63","2016-01-25 17:40:00",0,0
