"","Date_Time","Rainfall_mm","Throughfall_mm"
"1","2015-11-23 03:25:00",0,0.025
"2","2015-11-23 03:26:00",0.254,0.1
"3","2015-11-23 03:27:00",0.254,0.15
"4","2015-11-23 03:28:00",0.254,0.2
"5","2015-11-23 03:29:00",0.508,0.225
"6","2015-11-23 03:30:00",0.508,0.2
"7","2015-11-23 03:31:00",0.254,0.1
"8","2015-11-23 03:32:00",0.254,0.05
"9","2015-11-23 03:33:00",0,0.1
"10","2015-11-23 03:34:00",0,0.1
"11","2015-11-23 03:35:00",0,0.075
"12","2015-11-23 03:36:00",0.254,0.15
"13","2015-11-23 03:37:00",0,0.25
"14","2015-11-23 03:38:00",0.254,0.3
"15","2015-11-23 03:39:00",0.508,0.275
"16","2015-11-23 03:40:00",0.254,0.25
"17","2015-11-23 03:41:00",0.254,0.15
"18","2015-11-23 03:42:00",0.254,0.175
"19","2015-11-23 03:43:00",0.254,0.1
"20","2015-11-23 03:44:00",0,0.05
"21","2015-11-23 03:45:00",0,0.075
"22","2015-11-23 03:46:00",0,0.075
"23","2015-11-23 03:47:00",0.254,0.025
"24","2015-11-23 03:48:00",0,0.05
"25","2015-11-23 03:49:00",0,0.075
"26","2015-11-23 03:50:00",0,0
"27","2015-11-23 03:51:00",0,0
"28","2015-11-23 03:52:00",0,0
"29","2015-11-23 03:53:00",0,0
"30","2015-11-23 03:54:00",0,0
"31","2015-11-23 03:55:00",0,0.025
"32","2015-11-23 03:56:00",0,0.025
"33","2015-11-23 03:57:00",0,0.025
"34","2015-11-23 03:58:00",0,0
"35","2015-11-23 03:59:00",0,0
"36","2015-11-23 04:00:00",0,0
"37","2015-11-23 04:01:00",0,0
"38","2015-11-23 04:02:00",0,0.05
"39","2015-11-23 04:03:00",0,0.025
"40","2015-11-23 04:04:00",0,0.025
"41","2015-11-23 04:05:00",0,0
"42","2015-11-23 04:06:00",0,0.025
"43","2015-11-23 04:07:00",0,0
"44","2015-11-23 04:08:00",0,0
"45","2015-11-23 04:09:00",0,0
"46","2015-11-23 04:10:00",0,0
"47","2015-11-23 04:11:00",0,0
"48","2015-11-23 04:12:00",0,0
"49","2015-11-23 04:13:00",0,0
"50","2015-11-23 04:14:00",0,0
"51","2015-11-23 04:15:00",0,0
"52","2015-11-23 04:16:00",0,0
"53","2015-11-23 04:17:00",0,0
"54","2015-11-23 04:18:00",0,0
"55","2015-11-23 04:19:00",0,0.025
"56","2015-11-23 04:20:00",0,0.025
"57","2015-11-23 04:21:00",0,0
"58","2015-11-23 04:22:00",0.254,0
