"","Date_Time","Rainfall_mm","Throughfall_mm"
"1","2016-01-12 18:42:00",0,0
"2","2016-01-12 18:43:00",0.254,0
"3","2016-01-12 18:44:00",0,0
"4","2016-01-12 18:45:00",0,0
"5","2016-01-12 18:46:00",0,0.025
"6","2016-01-12 18:47:00",0,0
"7","2016-01-12 18:48:00",0,0
"8","2016-01-12 18:49:00",0,0.025
"9","2016-01-12 18:50:00",0,0
"10","2016-01-12 18:51:00",0,0
"11","2016-01-12 18:52:00",0,0
"12","2016-01-12 18:53:00",0.254,0.025
"13","2016-01-12 18:54:00",0,0.05
"14","2016-01-12 18:55:00",0,0
"15","2016-01-12 18:56:00",0,0.025
"16","2016-01-12 18:57:00",0,0
"17","2016-01-12 18:58:00",0,0
"18","2016-01-12 18:59:00",0,0
"19","2016-01-12 19:00:00",0.254,0
"20","2016-01-12 19:01:00",0,0.075
"21","2016-01-12 19:02:00",0,0
"22","2016-01-12 19:03:00",0,0
"23","2016-01-12 19:04:00",0,0
"24","2016-01-12 19:05:00",0,0.025
"25","2016-01-12 19:06:00",0,0
"26","2016-01-12 19:07:00",0,0
"27","2016-01-12 19:08:00",0,0
"28","2016-01-12 19:09:00",0,0
"29","2016-01-12 19:10:00",0,0
"30","2016-01-12 19:11:00",0,0
"31","2016-01-12 19:12:00",0,0
"32","2016-01-12 19:13:00",0,0
"33","2016-01-12 19:14:00",0,0
"34","2016-01-12 19:15:00",0,0
"35","2016-01-12 19:16:00",0.254,0.025
"36","2016-01-12 19:17:00",0,0.025
"37","2016-01-12 19:18:00",0,0
"38","2016-01-12 19:19:00",0,0
"39","2016-01-12 19:20:00",0,0.025
"40","2016-01-12 19:21:00",0,0
"41","2016-01-12 19:22:00",0,0.025
"42","2016-01-12 19:23:00",0,0.025
"43","2016-01-12 19:24:00",0.254,0.025
"44","2016-01-12 19:25:00",0,0.05
"45","2016-01-12 19:26:00",0,0
"46","2016-01-12 19:27:00",0,0.025
"47","2016-01-12 19:28:00",0,0.025
"48","2016-01-12 19:29:00",0.254,0.05
"49","2016-01-12 19:30:00",0,0.05
"50","2016-01-12 19:31:00",0.254,0.05
"51","2016-01-12 19:32:00",0,0.025
"52","2016-01-12 19:33:00",0.254,0.15
"53","2016-01-12 19:34:00",0,0.175
"54","2016-01-12 19:35:00",0.508,0.3
"55","2016-01-12 19:36:00",0.254,0.25
"56","2016-01-12 19:37:00",0.254,0.425
"57","2016-01-12 19:38:00",0.762,0.55
"58","2016-01-12 19:39:00",0.508,0.425
"59","2016-01-12 19:40:00",0.508,0.5
"60","2016-01-12 19:41:00",0.508,0.4
"61","2016-01-12 19:42:00",0.508,0.375
"62","2016-01-12 19:43:00",0.254,0.375
"63","2016-01-12 19:44:00",0.254,0.25
"64","2016-01-12 19:45:00",0,0.175
"65","2016-01-12 19:46:00",0.254,0.175
"66","2016-01-12 19:47:00",0,0.2
"67","2016-01-12 19:48:00",0.254,0.1
"68","2016-01-12 19:49:00",0.254,0.225
"69","2016-01-12 19:50:00",0.254,0.325
"70","2016-01-12 19:51:00",0.254,0.3
"71","2016-01-12 19:52:00",0.508,0.325
"72","2016-01-12 19:53:00",0.254,0.2
"73","2016-01-12 19:54:00",0.254,0.25
"74","2016-01-12 19:55:00",0.254,0.4
"75","2016-01-12 19:56:00",0.508,0.375
"76","2016-01-12 19:57:00",0.254,0.3
"77","2016-01-12 19:58:00",0.254,0.3
"78","2016-01-12 19:59:00",0.254,0.25
"79","2016-01-12 20:00:00",0.254,0.225
"80","2016-01-12 20:01:00",0.254,0.225
"81","2016-01-12 20:02:00",0.254,0.175
"82","2016-01-12 20:03:00",0.254,0.2
"83","2016-01-12 20:04:00",0,0.175
"84","2016-01-12 20:05:00",0.254,0.075
"85","2016-01-12 20:06:00",0,0.125
"86","2016-01-12 20:07:00",0,0.1
"87","2016-01-12 20:08:00",0.254,0.1
"88","2016-01-12 20:09:00",0,0.15
"89","2016-01-12 20:10:00",0.254,0.125
"90","2016-01-12 20:11:00",0,0.1
"91","2016-01-12 20:12:00",0.254,0.075
"92","2016-01-12 20:13:00",0,0.125
"93","2016-01-12 20:14:00",0.254,0.125
"94","2016-01-12 20:15:00",0,0.1
"95","2016-01-12 20:16:00",0.254,0.1
"96","2016-01-12 20:17:00",0,0.075
"97","2016-01-12 20:18:00",0,0.025
"98","2016-01-12 20:19:00",0,0.075
"99","2016-01-12 20:20:00",0.254,0.125
"100","2016-01-12 20:21:00",0,0.1
"101","2016-01-12 20:22:00",0.254,0.125
"102","2016-01-12 20:23:00",0.254,0.15
"103","2016-01-12 20:24:00",0,0.15
"104","2016-01-12 20:25:00",0.254,0.125
