"","Date_Time","Rainfall_mm","Throughfall_mm"
"1","2015-11-23 23:53:00",0,0
"2","2015-11-23 23:54:00",0.254,0.025
"3","2015-11-23 23:55:00",0,0
"4","2015-11-23 23:56:00",0,0
"5","2015-11-23 23:57:00",0.254,0.025
"6","2015-11-23 23:58:00",0,0.025
"7","2015-11-23 23:59:00",0.254,0.05
"8","2015-11-24 00:00:00",0,0.05
"9","2015-11-24 00:01:00",0.254,0.1
"10","2015-11-24 00:02:00",0.254,0.025
"11","2015-11-24 00:03:00",0,0.1
"12","2015-11-24 00:04:00",0.254,0.1
"13","2015-11-24 00:05:00",0.254,0.125
"14","2015-11-24 00:06:00",0,0.2
"15","2015-11-24 00:07:00",0.254,0.25
"16","2015-11-24 00:08:00",0.254,0.275
"17","2015-11-24 00:09:00",0.508,0.275
"18","2015-11-24 00:10:00",0.254,0.325
"19","2015-11-24 00:11:00",0.254,0.25
"20","2015-11-24 00:12:00",0.508,0.275
"21","2015-11-24 00:13:00",0.254,0.3
"22","2015-11-24 00:14:00",0.508,0.275
"23","2015-11-24 00:15:00",0.254,0.225
"24","2015-11-24 00:16:00",0.254,0.175
"25","2015-11-24 00:17:00",0.254,0.175
"26","2015-11-24 00:18:00",0.254,0.125
"27","2015-11-24 00:19:00",0,0.175
"28","2015-11-24 00:20:00",0.508,0.25
"29","2015-11-24 00:21:00",0.254,0.3
"30","2015-11-24 00:22:00",0.508,0.25
"31","2015-11-24 00:23:00",0.254,0.4
"32","2015-11-24 00:24:00",0.254,0.25
"33","2015-11-24 00:25:00",0.254,0.325
"34","2015-11-24 00:26:00",0.508,0.2
"35","2015-11-24 00:27:00",0,0.15
"36","2015-11-24 00:28:00",0.254,0.175
"37","2015-11-24 00:29:00",0,0.1
"38","2015-11-24 00:30:00",0.254,0.1
"39","2015-11-24 00:31:00",0,0.1
"40","2015-11-24 00:32:00",0.254,0.175
"41","2015-11-24 00:33:00",0.254,0.25
"42","2015-11-24 00:34:00",0.254,0.225
"43","2015-11-24 00:35:00",0.254,0.225
"44","2015-11-24 00:36:00",0,0.1
"45","2015-11-24 00:37:00",0.254,0.1
"46","2015-11-24 00:38:00",0,0.125
"47","2015-11-24 00:39:00",0.254,0.05
"48","2015-11-24 00:40:00",0,0.1
"49","2015-11-24 00:41:00",0,0.05
"50","2015-11-24 00:42:00",0.254,0.025
"51","2015-11-24 00:43:00",0,0.075
"52","2015-11-24 00:44:00",0,0.05
"53","2015-11-24 00:45:00",0,0.075
"54","2015-11-24 00:46:00",0.254,0.05
"55","2015-11-24 00:47:00",0,0.15
"56","2015-11-24 00:48:00",0.254,0.175
"57","2015-11-24 00:49:00",0.508,0.175
"58","2015-11-24 00:50:00",0.254,0.25
"59","2015-11-24 00:51:00",0,0.2
"60","2015-11-24 00:52:00",0.254,0.1
"61","2015-11-24 00:53:00",0.254,0.175
"62","2015-11-24 00:54:00",0.254,0.175
"63","2015-11-24 00:55:00",0,0.125
"64","2015-11-24 00:56:00",0.254,0.1
"65","2015-11-24 00:57:00",0,0.125
"66","2015-11-24 00:58:00",0.254,0.125
"67","2015-11-24 00:59:00",0,0.1
"68","2015-11-24 01:00:00",0.254,0.125
"69","2015-11-24 01:01:00",0,0.175
"70","2015-11-24 01:02:00",0.254,0.05
"71","2015-11-24 01:03:00",0,0.15
"72","2015-11-24 01:04:00",0.254,0.075
"73","2015-11-24 01:05:00",0,0.125
