"","Date_Time","Rainfall_mm","Throughfall_mm"
"1","2015-10-27 21:57:00",0,0
"2","2015-10-27 21:58:00",0.254,0
"3","2015-10-27 21:59:00",0.508,0
"4","2015-10-27 22:00:00",0.762,0.02
"5","2015-10-27 22:01:00",1.27,0.28
"6","2015-10-27 22:02:00",0.762,0.42
"7","2015-10-27 22:03:00",0.508,0.32
"8","2015-10-27 22:04:00",0.762,0.5
"9","2015-10-27 22:05:00",0.762,0.7
"10","2015-10-27 22:06:00",1.016,0.68
"11","2015-10-27 22:07:00",0.762,0.54
"12","2015-10-27 22:08:00",0.508,0.42
"13","2015-10-27 22:09:00",0.762,0.44
"14","2015-10-27 22:10:00",0.508,0.42
"15","2015-10-27 22:11:00",0.762,0.4
"16","2015-10-27 22:12:00",0.508,0.38
"17","2015-10-27 22:13:00",0.508,0.44
"18","2015-10-27 22:14:00",0.508,0.42
"19","2015-10-27 22:15:00",0.254,0.28
"20","2015-10-27 22:16:00",0.254,0.32
"21","2015-10-27 22:17:00",0,0.16
"22","2015-10-27 22:18:00",0.254,0.24
"23","2015-10-27 22:19:00",0.254,0.14
"24","2015-10-27 22:20:00",0,0.12
"25","2015-10-27 22:21:00",0,0.02
"26","2015-10-27 22:22:00",0,0.1
"27","2015-10-27 22:23:00",0.254,0.08
"28","2015-10-27 22:24:00",0,0.02
"29","2015-10-27 22:25:00",0,0
"30","2015-10-27 22:26:00",0,0
"31","2015-10-27 22:27:00",0,0.1
"32","2015-10-27 22:28:00",0,0.06
"33","2015-10-27 22:29:00",0.254,0
"34","2015-10-27 22:30:00",0,0.02
"35","2015-10-27 22:31:00",0,0.08
"36","2015-10-27 22:32:00",0,0
"37","2015-10-27 22:33:00",0,0
"38","2015-10-27 22:34:00",0.254,0.02
"39","2015-10-27 22:35:00",0,0.04
"40","2015-10-27 22:36:00",0,0.1
"41","2015-10-27 22:37:00",0,0
"42","2015-10-27 22:38:00",0,0.02
"43","2015-10-27 22:39:00",0,0
"44","2015-10-27 22:40:00",0,0.06
"45","2015-10-27 22:41:00",0,0.04
"46","2015-10-27 22:42:00",0,0
"47","2015-10-27 22:43:00",0,0.02
"48","2015-10-27 22:44:00",0,0
"49","2015-10-27 22:45:00",0,0
"50","2015-10-27 22:46:00",0,0
"51","2015-10-27 22:47:00",0.254,0
"52","2015-10-27 22:48:00",0,0.02
"53","2015-10-27 22:49:00",0,0.02
"54","2015-10-27 22:50:00",0,0.02
"55","2015-10-27 22:51:00",0,0.02
"56","2015-10-27 22:52:00",0,0.04
"57","2015-10-27 22:53:00",0,0.02
"58","2015-10-27 22:54:00",0.254,0.02
"59","2015-10-27 22:55:00",0,0.06
"60","2015-10-27 22:56:00",0,0.02
"61","2015-10-27 22:57:00",0,0.02
"62","2015-10-27 22:58:00",0,0
"63","2015-10-27 22:59:00",0,0
"64","2015-10-27 23:00:00",0,0
"65","2015-10-27 23:01:00",0.254,0.02
"66","2015-10-27 23:02:00",0,0.02
"67","2015-10-27 23:03:00",0,0.06
"68","2015-10-27 23:04:00",0,0.02
"69","2015-10-27 23:05:00",0,0
"70","2015-10-27 23:06:00",0,0
"71","2015-10-27 23:07:00",0,0.04
